dataset	model	stratification	crossvalidation	run_id	n_cells	n_populations	min_support	median_support	max_support	imbalance_ratio	support_entropy
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	random	drop-both	num-1	run0	587254	8	2785	71191	169103	60.71921005385997	2.552800474111671
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	random	drop-both	num-2	run0	640909	8	957	83326	222815	232.82654127481715	2.396024872990168
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	random	drop-both	num-3	run0	669201	8	2712	79218	224620	82.8244837758112	2.498786477121835
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	random	drop-both	num-4	run0	626922	8	2820	75688.5	196046	69.51985815602836	2.532382394982019
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	random	drop-both	num-5	run0	560939	8	2677	65739	165415	61.79118416137467	2.486782876848897
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	random	drop-train	num-1	run0	587254	8	2785	71191	169103	60.71921005385997	2.552800474111671
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	random	drop-train	num-2	run0	640909	8	957	83326	222815	232.82654127481715	2.396024872990168
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	random	drop-train	num-3	run0	669201	8	2712	79218	224620	82.8244837758112	2.498786477121835
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	random	drop-train	num-4	run0	626922	8	2820	75688.5	196046	69.51985815602836	2.532382394982019
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	random	drop-train	num-5	run0	560939	8	2677	65739	165415	61.79118416137467	2.486782876848897
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	random	unfiltered	num-1	run0	587254	8	2785	71191	169103	60.71921005385997	2.552800474111671
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	random	unfiltered	num-2	run0	640909	8	957	83326	222815	232.82654127481715	2.396024872990168
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	random	unfiltered	num-3	run0	669201	8	2712	79218	224620	82.8244837758112	2.498786477121835
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	random	unfiltered	num-4	run0	626922	8	2820	75688.5	196046	69.51985815602836	2.532382394982019
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	random	unfiltered	num-5	run0	560939	8	2677	65739	165415	61.79118416137467	2.486782876848897
dataset_name-BodenmillerXL_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42_transformation-cofactor-5	cyanno	drop-both	num-1	run0	165885	8	1900	11453.5	60654	31.923157894736843	2.2713277759194312
dataset_name-BodenmillerXL_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42_transformation-cofactor-5	cyanno	drop-both	num-2	run0	160829	8	1784	11410.5	58299	32.678811659192824	2.275449350307967
dataset_name-BodenmillerXL_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42_transformation-cofactor-5	cyanno	drop-both	num-3	run0	163357	8	1865	11448.5	59143	31.71206434316354	2.266821613603159
dataset_name-BodenmillerXL_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42_transformation-cofactor-5	cyanno	drop-both	num-4	run0	163801	8	1851	11668	60032	32.43219881145327	2.275474363828249
dataset_name-BodenmillerXL_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42_transformation-cofactor-5	cyanno	drop-both	num-5	run0	161138	8	1838	11932	59222	32.220892274211096	2.2862298259460023
dataset_name-BodenmillerXL_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42_transformation-cofactor-5	cyanno	drop-train	num-1	run0	165885	8	1900	11453.5	60654	31.923157894736843	2.2713277759194312
dataset_name-BodenmillerXL_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42_transformation-cofactor-5	cyanno	drop-train	num-2	run0	160829	8	1784	11410.5	58299	32.678811659192824	2.275449350307967
dataset_name-BodenmillerXL_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42_transformation-cofactor-5	cyanno	drop-train	num-3	run0	163357	8	1865	11448.5	59143	31.71206434316354	2.266821613603159
dataset_name-BodenmillerXL_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42_transformation-cofactor-5	cyanno	drop-train	num-4	run0	163801	8	1851	11668	60032	32.43219881145327	2.275474363828249
dataset_name-BodenmillerXL_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42_transformation-cofactor-5	cyanno	drop-train	num-5	run0	161138	8	1838	11932	59222	32.220892274211096	2.2862298259460023
dataset_name-BodenmillerXL_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42_transformation-cofactor-5	cyanno	unfiltered	num-1	run0	165885	8	1900	11453.5	60654	31.923157894736843	2.2713277759194312
dataset_name-BodenmillerXL_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42_transformation-cofactor-5	cyanno	unfiltered	num-2	run0	160829	8	1784	11410.5	58299	32.678811659192824	2.275449350307967
dataset_name-BodenmillerXL_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42_transformation-cofactor-5	cyanno	unfiltered	num-3	run0	163357	8	1865	11448.5	59143	31.71206434316354	2.266821613603159
dataset_name-BodenmillerXL_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42_transformation-cofactor-5	cyanno	unfiltered	num-4	run0	163801	8	1851	11668	60032	32.43219881145327	2.275474363828249
dataset_name-BodenmillerXL_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42_transformation-cofactor-5	cyanno	unfiltered	num-5	run0	161138	8	1838	11932	59222	32.220892274211096	2.2862298259460023
dataset_name-BodenmillerXL_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42_transformation-cofactor-5	cydefine[3f57bdcdec41]	drop-both	num-1	run0	165885	8	1900	11453.5	60654	31.923157894736843	2.2713277759194312
dataset_name-BodenmillerXL_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42_transformation-cofactor-5	cydefine[3f57bdcdec41]	drop-both	num-2	run0	160829	8	1784	11410.5	58299	32.678811659192824	2.275449350307967
dataset_name-BodenmillerXL_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42_transformation-cofactor-5	cydefine[3f57bdcdec41]	drop-both	num-3	run0	163357	8	1865	11448.5	59143	31.71206434316354	2.266821613603159
dataset_name-BodenmillerXL_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42_transformation-cofactor-5	cydefine[3f57bdcdec41]	drop-both	num-4	run0	163801	8	1851	11668	60032	32.43219881145327	2.275474363828249
dataset_name-BodenmillerXL_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42_transformation-cofactor-5	cydefine[3f57bdcdec41]	drop-both	num-5	run0	161138	8	1838	11932	59222	32.220892274211096	2.2862298259460023
dataset_name-BodenmillerXL_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42_transformation-cofactor-5	cydefine[3f57bdcdec41]	drop-train	num-1	run0	165885	8	1900	11453.5	60654	31.923157894736843	2.2713277759194312
dataset_name-BodenmillerXL_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42_transformation-cofactor-5	cydefine[3f57bdcdec41]	drop-train	num-2	run0	160829	8	1784	11410.5	58299	32.678811659192824	2.275449350307967
dataset_name-BodenmillerXL_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42_transformation-cofactor-5	cydefine[3f57bdcdec41]	drop-train	num-3	run0	163357	8	1865	11448.5	59143	31.71206434316354	2.266821613603159
dataset_name-BodenmillerXL_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42_transformation-cofactor-5	cydefine[3f57bdcdec41]	drop-train	num-4	run0	163801	8	1851	11668	60032	32.43219881145327	2.275474363828249
dataset_name-BodenmillerXL_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42_transformation-cofactor-5	cydefine[3f57bdcdec41]	drop-train	num-5	run0	161138	8	1838	11932	59222	32.220892274211096	2.2862298259460023
dataset_name-BodenmillerXL_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42_transformation-cofactor-5	cydefine[3f57bdcdec41]	unfiltered	num-1	run0	165885	8	1900	11453.5	60654	31.923157894736843	2.2713277759194312
dataset_name-BodenmillerXL_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42_transformation-cofactor-5	cydefine[3f57bdcdec41]	unfiltered	num-2	run0	160829	8	1784	11410.5	58299	32.678811659192824	2.275449350307967
dataset_name-BodenmillerXL_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42_transformation-cofactor-5	cydefine[3f57bdcdec41]	unfiltered	num-3	run0	163357	8	1865	11448.5	59143	31.71206434316354	2.266821613603159
dataset_name-BodenmillerXL_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42_transformation-cofactor-5	cydefine[3f57bdcdec41]	unfiltered	num-4	run0	163801	8	1851	11668	60032	32.43219881145327	2.275474363828249
dataset_name-BodenmillerXL_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42_transformation-cofactor-5	cydefine[3f57bdcdec41]	unfiltered	num-5	run0	161138	8	1838	11932	59222	32.220892274211096	2.2862298259460023
dataset_name-BodenmillerXL_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42_transformation-cofactor-5	cygate	drop-both	num-1	run0	165885	8	1900	11453.5	60654	31.923157894736843	2.2713277759194312
dataset_name-BodenmillerXL_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42_transformation-cofactor-5	cygate	drop-both	num-2	run0	160829	8	1784	11410.5	58299	32.678811659192824	2.275449350307967
dataset_name-BodenmillerXL_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42_transformation-cofactor-5	cygate	drop-both	num-3	run0	163357	8	1865	11448.5	59143	31.71206434316354	2.266821613603159
dataset_name-BodenmillerXL_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42_transformation-cofactor-5	cygate	drop-both	num-4	run0	163801	8	1851	11668	60032	32.43219881145327	2.275474363828249
dataset_name-BodenmillerXL_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42_transformation-cofactor-5	cygate	drop-both	num-5	run0	161138	8	1838	11932	59222	32.220892274211096	2.2862298259460023
dataset_name-BodenmillerXL_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42_transformation-cofactor-5	cygate	drop-train	num-1	run0	165885	8	1900	11453.5	60654	31.923157894736843	2.2713277759194312
dataset_name-BodenmillerXL_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42_transformation-cofactor-5	cygate	drop-train	num-2	run0	160829	8	1784	11410.5	58299	32.678811659192824	2.275449350307967
dataset_name-BodenmillerXL_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42_transformation-cofactor-5	cygate	drop-train	num-3	run0	163357	8	1865	11448.5	59143	31.71206434316354	2.266821613603159
dataset_name-BodenmillerXL_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42_transformation-cofactor-5	cygate	drop-train	num-4	run0	163801	8	1851	11668	60032	32.43219881145327	2.275474363828249
dataset_name-BodenmillerXL_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42_transformation-cofactor-5	cygate	drop-train	num-5	run0	161138	8	1838	11932	59222	32.220892274211096	2.2862298259460023
dataset_name-BodenmillerXL_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42_transformation-cofactor-5	cygate	unfiltered	num-1	run0	165885	8	1900	11453.5	60654	31.923157894736843	2.2713277759194312
dataset_name-BodenmillerXL_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42_transformation-cofactor-5	cygate	unfiltered	num-2	run0	160829	8	1784	11410.5	58299	32.678811659192824	2.275449350307967
dataset_name-BodenmillerXL_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42_transformation-cofactor-5	cygate	unfiltered	num-3	run0	163357	8	1865	11448.5	59143	31.71206434316354	2.266821613603159
dataset_name-BodenmillerXL_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42_transformation-cofactor-5	cygate	unfiltered	num-4	run0	163801	8	1851	11668	60032	32.43219881145327	2.275474363828249
dataset_name-BodenmillerXL_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42_transformation-cofactor-5	cygate	unfiltered	num-5	run0	161138	8	1838	11932	59222	32.220892274211096	2.2862298259460023
dataset_name-BodenmillerXL_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42_transformation-cofactor-5	dgcytof	drop-both	num-1	run0	165885	8	1900	11453.5	60654	31.923157894736843	2.2713277759194312
dataset_name-BodenmillerXL_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42_transformation-cofactor-5	dgcytof	drop-both	num-2	run0	160829	8	1784	11410.5	58299	32.678811659192824	2.275449350307967
dataset_name-BodenmillerXL_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42_transformation-cofactor-5	dgcytof	drop-both	num-3	run0	163357	8	1865	11448.5	59143	31.71206434316354	2.266821613603159
dataset_name-BodenmillerXL_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42_transformation-cofactor-5	dgcytof	drop-both	num-4	run0	163801	8	1851	11668	60032	32.43219881145327	2.275474363828249
dataset_name-BodenmillerXL_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42_transformation-cofactor-5	dgcytof	drop-both	num-5	run0	161138	8	1838	11932	59222	32.220892274211096	2.2862298259460023
dataset_name-BodenmillerXL_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42_transformation-cofactor-5	dgcytof	drop-train	num-1	run0	165885	8	1900	11453.5	60654	31.923157894736843	2.2713277759194312
dataset_name-BodenmillerXL_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42_transformation-cofactor-5	dgcytof	drop-train	num-2	run0	160829	8	1784	11410.5	58299	32.678811659192824	2.275449350307967
dataset_name-BodenmillerXL_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42_transformation-cofactor-5	dgcytof	drop-train	num-3	run0	163357	8	1865	11448.5	59143	31.71206434316354	2.266821613603159
dataset_name-BodenmillerXL_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42_transformation-cofactor-5	dgcytof	drop-train	num-4	run0	163801	8	1851	11668	60032	32.43219881145327	2.275474363828249
